bank_reference,transaction_id,credited_amount,date
BNK_REF_0001,TXN001,44655,2026-08-19
BNK_REF_0002,TXN002,25705,2026-08-21
BNK_REF_0003,TXN003,14110,2026-08-05
BNK_REF_0004,TXN004,45493,2026-08-14
BNK_REF_0005,TXN005,7760,2026-08-08
BNK_REF_0006,TXN006,3349,2026-08-25
BNK_REF_0007,TXN007,8827,2026-08-21
BNK_REF_0008,TXN008,20079,2026-08-03
BNK_REF_0009,TXN009,13593,2026-08-17
BNK_REF_0010,TXN010,45143,2026-08-22
BNK_REF_0011,TXN011,15520,2026-08-04
BNK_REF_0012,TXN012,48555,2026-08-01
BNK_REF_0013,TXN013,9949,2026-08-25
BNK_REF_0014,TXN014,33026,2026-08-27
BNK_REF_0015,TXN015,39200,2026-08-12
BNK_REF_0016,TXN016,30810,2026-08-01
BNK_REF_0017,TXN017,6533,2026-08-01
BNK_REF_0018,TXN018,3322,2026-08-08
BNK_REF_0019,TXN019,25413,2026-08-24
BNK_REF_0020,TXN020,33659,2026-08-05
BNK_REF_0021,TXN021,14065,2026-08-06
BNK_REF_0022,TXN022,38808,2026-08-18
BNK_REF_0023,TXN023,34418,2026-08-13
BNK_REF_0024,TXN024,23739,2026-08-17
BNK_REF_0025,TXN024,23739,2026-08-17
BNK_REF_0026,TXN025,4095,2026-08-08
BNK_REF_0027,TXN026,28714,2026-08-19
BNK_REF_0028,TXN027,1281,2026-08-08
BNK_REF_0029,TXN028,4334,2026-08-08
BNK_REF_0030,TXN030,25284,2026-08-22
BNK_REF_0031,TXN031,36860,2026-08-05
BNK_REF_0032,TXN032,24444,2026-08-26
BNK_REF_0033,TXN033,5723,2026-08-04
BNK_REF_0034,TXN034,21340,2026-08-14
BNK_REF_0035,TXN035,33884,2026-08-22
BNK_REF_0036,TXN036,18026,2026-08-24
BNK_REF_0037,TXN037,10379,2026-08-07
BNK_REF_0038,TXN038,14744,2026-08-06
BNK_REF_0039,TXN040,44424,2026-08-26
BNK_REF_0040,TXN041,28171,2026-08-21
BNK_REF_0041,TXN042,43512,2026-08-25
BNK_REF_0042,TXN043,25026,2026-08-14
BNK_REF_0043,TXN044,21178,2026-08-28
BNK_REF_0044,TXN045,1067,2026-08-13
BNK_REF_0045,TXN046,39867,2026-08-26
BNK_REF_0046,TXN047,35502,2026-08-14
BNK_REF_0047,TXN048,15778,2026-08-07
BNK_REF_0048,TXN049,38021,2026-08-19
BNK_REF_0049,TXN050,3395,2026-08-02
BNK_REF_0050,TXN051,27538,2026-08-28
BNK_REF_0051,TXN052,43610,2026-08-03
BNK_REF_0052,TXN053,4312,2026-08-20
BNK_REF_0053,TXN054,48216,2026-08-04
BNK_REF_0054,TXN055,2955,2026-08-20
BNK_REF_0055,TXN056,30030,2026-08-22
BNK_REF_0056,TXN057,34320,2026-08-07
BNK_REF_0057,TXN058,20776,2026-08-09
BNK_REF_0058,TXN059,16844,2026-08-15
BNK_REF_0059,TXN060,32308,2026-08-15
BNK_REF_0060,TXN061,11603,2026-08-18
BNK_REF_0061,TXN062,45409,2026-08-12
BNK_REF_0062,TXN063,15190,2026-08-12
BNK_REF_0063,TXN064,28080,2026-08-27
BNK_REF_0064,TXN065,33884,2026-08-26
BNK_REF_0065,TXN066,47970,2026-08-10
BNK_REF_0066,TXN067,6797,2026-08-09
BNK_REF_0067,TXN068,14528,2026-08-05
BNK_REF_0068,TXN069,36658,2026-08-07
BNK_REF_0069,TXN070,13593,2026-08-16
BNK_REF_0070,TXN071,22035,2026-08-21
BNK_REF_0071,TXN072,17640,2026-08-01
BNK_REF_0072,TXN072,17640,2026-08-01
BNK_REF_0073,TXN073,37733,2026-08-06
BNK_REF_0074,TXN074,22358,2026-08-23
BNK_REF_0075,TXN075,2730,2026-08-18
BNK_REF_0076,TXN077,16283,2026-08-02
BNK_REF_0077,TXN078,11466,2026-08-12
BNK_REF_0078,TXN079,39673,2026-08-12
BNK_REF_0079,TXN080,8722,2026-08-24
BNK_REF_0080,TXN081,2156,2026-08-14
BNK_REF_0081,TXN082,47142,2026-08-26
BNK_REF_0082,TXN083,8964,2026-08-09
BNK_REF_0083,TXN085,41516,2026-08-07
BNK_REF_0084,TXN086,40866,2026-08-27
BNK_REF_0085,TXN087,34006,2026-08-01
BNK_REF_0086,TXN088,14972,2026-08-11
BNK_REF_0087,TXN089,26190,2026-08-21
BNK_REF_0088,TXN090,48265,2026-08-11
BNK_REF_0089,TXN092,30555,2026-08-04
BNK_REF_0090,TXN093,40170,2026-08-24
BNK_REF_0091,TXN094,26694,2026-08-20
BNK_REF_0092,TXN095,10433,2026-08-19
BNK_REF_0093,TXN096,22951,2026-08-23
BNK_REF_0094,TXN097,27930,2026-08-26
BNK_REF_0095,TXN097,27930,2026-08-26
BNK_REF_0096,TXN098,4388,2026-08-14
BNK_REF_0097,TXN099,34377,2026-08-11
BNK_REF_0098,TXN100,16296,2026-08-17
