transaction_id,merchant_id,amount,date,status
TXN001,M007,45800,2026-08-19,CAPTURED
TXN002,M007,26500,2026-08-21,CAPTURED
TXN003,M015,14500,2026-08-05,CAPTURED
TXN004,M019,46900,2026-08-14,CAPTURED
TXN005,M012,8000,2026-08-08,CAPTURED
TXN006,M003,3400,2026-08-25,CAPTURED
TXN007,M005,9100,2026-08-21,CAPTURED
TXN008,M020,20700,2026-08-03,CAPTURED
TXN009,M015,13800,2026-08-17,CAPTURED
TXN010,M004,46300,2026-08-22,CAPTURED
TXN011,M011,16000,2026-08-04,CAPTURED
TXN012,M015,49800,2026-08-01,CAPTURED
TXN013,M017,10100,2026-08-25,CAPTURED
TXN014,M010,33700,2026-08-27,CAPTURED
TXN015,M005,40000,2026-08-12,CAPTURED
TXN016,M017,31600,2026-08-01,CAPTURED
TXN017,M016,6700,2026-08-01,CAPTURED
TXN018,M010,3900,2026-08-08,CAPTURED
TXN019,M003,25800,2026-08-24,CAPTURED
TXN020,M005,34700,2026-08-05,CAPTURED
TXN021,M018,14500,2026-08-06,CAPTURED
TXN022,M007,39600,2026-08-18,CAPTURED
TXN023,M010,35300,2026-08-13,CAPTURED
TXN024,M015,24100,2026-08-17,CAPTURED
TXN025,M008,4200,2026-08-08,CAPTURED
TXN026,M001,29300,2026-08-19,CAPTURED
TXN027,M019,1300,2026-08-08,CAPTURED
TXN028,M002,4400,2026-08-08,CAPTURED
TXN029,M011,27300,2026-08-03,CAPTURED
TXN030,M009,25800,2026-08-22,CAPTURED
TXN031,M018,38000,2026-08-05,CAPTURED
TXN032,M008,25200,2026-08-26,CAPTURED
TXN033,M007,5900,2026-08-04,CAPTURED
TXN034,M012,22000,2026-08-14,CAPTURED
TXN035,M002,34400,2026-08-22,CAPTURED
TXN036,M013,18300,2026-08-24,CAPTURED
TXN037,M008,10700,2026-08-07,CAPTURED
TXN038,M014,15200,2026-08-06,CAPTURED
TXN039,M008,48200,2026-08-28,CAPTURED
TXN040,M015,45100,2026-08-26,CAPTURED
TXN041,M002,28600,2026-08-21,CAPTURED
TXN042,M003,44400,2026-08-25,CAPTURED
TXN043,M006,25800,2026-08-14,CAPTURED
TXN044,M007,21500,2026-08-28,CAPTURED
TXN045,M006,1100,2026-08-13,CAPTURED
TXN046,M009,41100,2026-08-26,CAPTURED
TXN047,M010,36600,2026-08-14,CAPTURED
TXN048,M005,16100,2026-08-07,CAPTURED
TXN049,M002,38600,2026-08-19,CAPTURED
TXN050,M011,3500,2026-08-02,CAPTURED
TXN051,M017,28100,2026-08-28,CAPTURED
TXN052,M017,44500,2026-08-03,CAPTURED
TXN053,M003,4400,2026-08-20,CAPTURED
TXN054,M013,49200,2026-08-04,CAPTURED
TXN055,M019,3000,2026-08-20,CAPTURED
TXN056,M014,30800,2026-08-22,CAPTURED
TXN057,M009,35200,2026-08-07,CAPTURED
TXN058,M008,21200,2026-08-09,CAPTURED
TXN059,M010,17100,2026-08-15,CAPTURED
TXN060,M001,32800,2026-08-15,CAPTURED
TXN061,M003,11900,2026-08-18,CAPTURED
TXN062,M005,46100,2026-08-12,CAPTURED
TXN063,M008,15500,2026-08-12,CAPTURED
TXN064,M015,28800,2026-08-27,CAPTURED
TXN065,M020,34400,2026-08-26,CAPTURED
TXN066,M018,48700,2026-08-10,CAPTURED
TXN067,M005,6900,2026-08-09,CAPTURED
TXN068,M018,14900,2026-08-05,CAPTURED
TXN069,M020,37700,2026-08-07,CAPTURED
TXN070,M017,13800,2026-08-16,CAPTURED
TXN071,M003,22600,2026-08-21,CAPTURED
TXN072,M002,18000,2026-08-01,CAPTURED
TXN073,M009,38900,2026-08-06,CAPTURED
TXN074,M018,22800,2026-08-23,CAPTURED
TXN075,M005,2800,2026-08-18,CAPTURED
TXN076,M019,8500,2026-08-18,CAPTURED
TXN077,M005,16700,2026-08-02,CAPTURED
TXN078,M002,11700,2026-08-12,CAPTURED
TXN079,M004,40900,2026-08-12,CAPTURED
TXN080,M020,8900,2026-08-24,CAPTURED
TXN081,M006,2200,2026-08-14,CAPTURED
TXN082,M011,48600,2026-08-26,CAPTURED
TXN083,M008,9100,2026-08-09,CAPTURED
TXN084,M013,2900,2026-08-28,CAPTURED
TXN085,M008,42800,2026-08-07,CAPTURED
TXN086,M010,41700,2026-08-27,CAPTURED
TXN087,M008,34700,2026-08-01,CAPTURED
TXN088,M013,15200,2026-08-11,CAPTURED
TXN089,M012,27000,2026-08-21,CAPTURED
TXN090,M018,49000,2026-08-11,CAPTURED
TXN091,M004,10100,2026-08-09,CAPTURED
TXN092,M002,31500,2026-08-04,CAPTURED
TXN093,M012,41200,2026-08-24,CAPTURED
TXN094,M014,27100,2026-08-20,CAPTURED
TXN095,M013,10700,2026-08-19,CAPTURED
TXN096,M002,23300,2026-08-23,CAPTURED
TXN097,M017,28500,2026-08-26,CAPTURED
TXN098,M012,4500,2026-08-14,CAPTURED
TXN099,M020,34900,2026-08-11,CAPTURED
TXN100,M010,16800,2026-08-17,CAPTURED
