transaction_id,gross_amount,fee,net_amount,date,status
TXN001,45800,1145,44655,2026-08-19,POSTED
TXN002,26500,795,25705,2026-08-21,POSTED
TXN003,14500,290,14210,2026-08-05,POSTED
TXN004,46900,1407,45493,2026-08-14,POSTED
TXN005,8000,240,7760,2026-08-08,POSTED
TXN006,3400,51,3349,2026-08-25,POSTED
TXN007,9100,273,8827,2026-08-21,POSTED
TXN008,21700,621,21079,2026-08-03,POSTED
TXN009,13800,207,13593,2026-08-17,POSTED
TXN010,47300,1157,46143,2026-08-22,POSTED
TXN011,16200,480,15720,2026-08-04,POSTED
TXN012,49800,1245,48555,2026-08-01,POSTED
TXN013,10100,151,9949,2026-08-25,POSTED
TXN014,33700,674,33026,2026-08-27,POSTED
TXN015,41000,800,40200,2026-08-12,POSTED
TXN016,31600,790,30810,2026-08-01,POSTED
TXN017,6700,167,6533,2026-08-01,POSTED
TXN018,3900,78,3822,2026-08-08,POSTED
TXN019,26800,387,26413,2026-08-24,POSTED
TXN020,34700,1041,33659,2026-08-05,POSTED
TXN021,14500,435,14065,2026-08-06,POSTED
TXN022,39600,792,38808,2026-08-18,POSTED
TXN023,35300,882,34418,2026-08-13,POSTED
TXN024,24100,361,23739,2026-08-17,POSTED
TXN026,29300,586,28714,2026-08-19,POSTED
TXN028,4400,66,4334,2026-08-08,POSTED
TXN029,27300,546,26754,2026-08-03,POSTED
TXN030,25800,516,25284,2026-08-22,POSTED
TXN031,38000,1140,36860,2026-08-05,POSTED
TXN032,25200,756,24444,2026-08-26,POSTED
TXN033,5900,177,5723,2026-08-04,POSTED
TXN034,22000,660,21340,2026-08-14,POSTED
TXN035,34600,516,34084,2026-08-22,POSTED
TXN036,18300,274,18026,2026-08-24,POSTED
TXN037,10700,321,10479,2026-08-07,POSTED
TXN038,15200,456,14744,2026-08-06,POSTED
TXN039,48200,723,47477,2026-08-28,POSTED
TXN040,45100,676,44424,2026-08-26,POSTED
TXN041,28600,429,28171,2026-08-21,POSTED
TXN042,44400,888,43512,2026-08-25,POSTED
TXN043,25800,774,25026,2026-08-14,POSTED
TXN044,21500,322,21178,2026-08-28,POSTED
TXN045,1100,33,1067,2026-08-13,POSTED
TXN046,41100,1233,39867,2026-08-26,POSTED
TXN047,36600,1098,35502,2026-08-14,POSTED
TXN048,16100,322,15778,2026-08-07,POSTED
TXN049,38600,579,38021,2026-08-19,POSTED
TXN050,3500,105,3395,2026-08-02,POSTED
TXN051,28100,562,27438,2026-08-28,POSTED
TXN052,44500,890,43610,2026-08-03,POSTED
TXN053,4400,88,4312,2026-08-20,POSTED
TXN054,49200,984,48216,2026-08-04,POSTED
TXN055,3000,45,2955,2026-08-20,POSTED
TXN056,30800,770,30030,2026-08-22,POSTED
TXN057,35200,880,34320,2026-08-07,POSTED
TXN058,21200,424,20776,2026-08-09,POSTED
TXN059,17100,256,16844,2026-08-15,POSTED
TXN060,32800,492,32308,2026-08-15,POSTED
TXN061,11900,297,11603,2026-08-18,POSTED
TXN062,46100,691,45409,2026-08-12,POSTED
TXN063,15500,310,15190,2026-08-12,POSTED
TXN064,28800,720,28080,2026-08-27,POSTED
TXN066,48700,730,47970,2026-08-10,POSTED
TXN067,7900,103,7797,2026-08-09,POSTED
TXN068,14900,372,14528,2026-08-05,POSTED
TXN069,37700,942,36758,2026-08-07,POSTED
TXN070,13800,207,13593,2026-08-16,POSTED
TXN071,22600,565,22035,2026-08-21,POSTED
TXN072,18000,360,17640,2026-08-01,POSTED
TXN073,38900,1167,37733,2026-08-06,POSTED
TXN074,22800,342,22458,2026-08-23,POSTED
TXN075,2800,70,2730,2026-08-18,POSTED
TXN076,8500,255,8245,2026-08-18,POSTED
TXN077,16700,417,16283,2026-08-02,POSTED
TXN078,12700,234,12466,2026-08-12,POSTED
TXN080,9100,178,8922,2026-08-24,POSTED
TXN081,2200,44,2156,2026-08-14,POSTED
TXN082,48600,1458,47142,2026-08-26,POSTED
TXN083,9100,136,8964,2026-08-09,POSTED
TXN084,2900,87,2813,2026-08-28,POSTED
TXN085,42800,1284,41766,2026-08-07,POSTED
TXN086,41700,834,40866,2026-08-27,POSTED
TXN087,34700,694,34006,2026-08-01,POSTED
TXN088,15700,228,15472,2026-08-11,POSTED
TXN089,27000,810,26190,2026-08-21,POSTED
TXN090,49000,735,48265,2026-08-11,POSTED
TXN091,10100,252,9848,2026-08-09,POSTED
TXN092,31500,945,30555,2026-08-04,POSTED
TXN093,41200,1030,40170,2026-08-24,POSTED
TXN094,27100,406,26694,2026-08-20,POSTED
TXN095,10700,267,10433,2026-08-19,POSTED
TXN096,23300,349,22951,2026-08-23,POSTED
TXN097,28500,570,27930,2026-08-26,POSTED
TXN098,4500,112,4388,2026-08-14,POSTED
TXN099,34900,523,34377,2026-08-11,POSTED
