transaction_id,exception_type,ground_truth_decision
TESTX_015,NONE,RECONCILED
TESTX_016,NONE,RECONCILED
TESTX_017,NONE,RECONCILED
TESTX_018,NONE,RECONCILED
TESTX_019,NONE,RECONCILED
TESTX_020,NONE,RECONCILED
TESTX_001,BANK_AMOUNT_MISMATCH,AUTO_RESOLVED
TESTX_002,BANK_AMOUNT_MISMATCH,AUTO_RESOLVED
TESTX_003,BANK_AMOUNT_MISMATCH,AUTO_RESOLVED
TESTX_004,BANK_AMOUNT_MISMATCH,AUTO_RESOLVED
TESTX_005,GROSS_AMOUNT_MISMATCH,AUTO_RESOLVED
TESTX_006,DUPLICATE_BANK_RECORD,AUTO_RESOLVED
TESTX_007,DUPLICATE_BANK_RECORD,AUTO_RESOLVED
TESTX_008,DUPLICATE_BANK_RECORD,AUTO_RESOLVED
TESTX_009,DUPLICATE_BANK_RECORD,AUTO_RESOLVED
TESTX_010,MISSING_LEDGER_RECORD,HUMAN_REVIEW
TESTX_011,MISSING_LEDGER_RECORD,HUMAN_REVIEW
TESTX_012,MISSING_BANK_RECORD,HUMAN_REVIEW
TESTX_013,MISSING_BANK_RECORD,HUMAN_REVIEW
TESTX_014,LEDGER_CALCULATION_ERROR,HUMAN_REVIEW
